SimulationTime	VehicleID	x	y	speed	angle
1005.00	PKW5190	2511.11	2009.36	13.89	259.90
1005.00	PKW4624	3788.90	1936.28	13.89	93.65
1005.00	PKW5340	2275.93	1888.65	13.89	229.81
1005.00	PKW5522	2810.56	2209.81	0.00	128.55
1005.00	PKW5085	2216.83	1003.85	13.89	287.79
1005.00	PKW4891	1864.45	493.73	13.89	116.23
1005.00	PKW4310	1963.62	2632.20	13.89	25.11
1005.00	PKW3764	1086.18	2039.83	13.89	345.61
1005.00	PKW4944	1478.25	1137.08	0.00	199.12
1005.00	PKW5192	2282.30	979.03	13.89	288.13
1005.00	PKW5328	2623.83	852.93	0.00	226.76
1005.00	PKW4760	2501.59	875.77	13.89	137.91
1005.00	PKW4948	1862.80	2326.33	11.70	188.57
1005.00	PKW5532	1378.41	1881.99	0.00	4.50
1005.00	PKW5016	2209.80	454.78	4.70	159.12
1005.00	PKW5331	2779.61	797.28	13.89	104.88
1005.00	PKW4968	2820.94	2204.55	13.89	202.40
1005.00	LKW237	1809.07	1048.44	0.00	253.31
1005.00	PKW4992	1733.04	1856.72	4.95	288.41
1005.00	PKW5338	1868.69	2096.51	13.89	356.60
1005.00	LKW223	2855.57	2225.81	0.00	15.66
1005.00	PKW5031	1483.41	1206.14	13.89	306.24
1005.00	PKW4970	1374.14	1213.60	13.89	268.51
1005.00	PKW5445	1959.91	2661.99	13.89	200.12
1005.00	PKW5527	1401.72	3115.22	13.89	128.46
1005.00	PKW4849	2638.38	2027.65	13.89	262.21
1005.00	PKW4861	2061.82	1044.10	0.00	280.28
1005.00	PKW4663	1682.14	1092.88	13.60	285.18
1005.00	PKW5473	2526.45	587.82	0.00	291.56
1005.00	PKW3777	2314.02	2682.55	6.76	268.46
1005.00	PKW4799	2613.87	881.48	0.00	189.51
1005.00	PKW5050	1687.58	1868.47	13.00	108.41
1005.00	PKW4840	2820.93	2620.47	13.89	358.75
1005.00	PKW4792	1477.41	652.60	0.00	276.82
1005.00	PKW5077	2805.17	2474.59	0.00	178.68
1005.00	PKW4436	1691.95	1870.40	8.06	288.41
1005.00	PKW5261	1915.01	2711.77	13.89	126.68
1005.00	PKW4904	2822.34	2556.31	13.89	358.75
1005.00	PKW5499	1093.16	1922.49	13.88	165.61
1005.00	PKW4890	1778.41	1840.49	5.20	281.03
1005.00	PKW4146	2070.91	1719.44	2.05	125.55
